experiment_id,description,model,learning_rate,glove_embedding,dropout_rate,data_per_batch,epoch,batch_size,validation_freq,model_architecture,Greedy BELU-1,Greedy BELU-2,Greedy BELU-3,Greedy BELU-4,Beam BELU-1,Beam BELU-2,Beam BELU-3,Beam BELU-4
exp_1,InceptionV3 feature extractor with dual bi-directional LSTM model,inceptionV3,0.0001,True,0.04,6,80,32,1,arch2,0.3716794487051239,0.2214150997225368,0.15696541848730514,0.07331716400160054,0.361968183499815,0.21179703598668953,0.14936209369274775,0.06808219151549835
exp_2,VGG feature extractor with single LSTM model and word embeddings,vgg16,0.0001,True,0.04,6,80,32,1,arch1,0.40719324621255926,0.2498905812981411,0.18134974463682765,0.08709161160585803,0.39989344293488605,0.24138226285655218,0.1737411963427862,0.08154373634249569
exp_3,VGG feature extractor with single LSTM model without embeddings,vgg16,0.0001,True,0.04,6,80,32,1,arch1,0.41866478608368596,0.26217398426805777,0.1879167456023057,0.08935678352516756,0.4090472347130943,0.25187528534619474,0.1808041154651806,0.08616199331471985
exp_1a,InceptionV3 feature extractor with dual bi-directional LSTM model,inceptionV3,0.0001,True,0.04,6,80,32,1,arch1,0.4084751273436653,0.24559182819960507,0.17580427814770072,0.07944711655054536,0.39798768261243195,0.23666985197612173,0.16926126425652846,0.07807438750107484
